phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
20002#1427#polycystic kidney,PKD1,EFO_0008620,Polycystic Kidney Disease,,,EFO_0009690,urinary system disease
Union#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
Source of report of Q61 (cystic kidney disease),PKD1,EFO_0008615,Cystic Kidney Disease,,,EFO_0009690,urinary system disease
Source of report of Q61 (cystic kidney disease),PKD1,EFO_0008615,Cystic Kidney Disease,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#Q612#Q61.2 Polycystic kidney| adult type,PKD1,EFO_0008620,Polycystic Kidney Disease,,,EFO_0009690,urinary system disease
Union#Q61#Q61 Cystic kidney disease,PKD1,EFO_0008615,Cystic Kidney Disease,EFO_0008615,Cystic Kidney Disease,EFO_0009690,urinary system disease
Union#Q61#Q61 Cystic kidney disease,PKD1,EFO_0008615,Cystic Kidney Disease,EFO_0008615,Cystic Kidney Disease,OTAR_0000018,"genetic, familial or congenital disease"
20002#1452#eczema|dermatitis,FLG,HP_0000964,Eczema,,,EFO_0010285,integumentary system disease
40001#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40001#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
Union#D56#D56 Thalassaemia,HBB,EFO_1001996,Thalassemia,EFO_1001996,Thalassemia,EFO_0005803,hematologic disease
40001#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40001#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
41200#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41200#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41200#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
Source of report of D56 (thalassaemia),HBB,EFO_1001996,Thalassemia,,,EFO_0005803,hematologic disease
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41272#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41272#W36#W36 Diagnostic puncture of bone,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#Q613#Q61.3 Polycystic kidney| unspecified,PKD1,EFO_0008620,Polycystic Kidney Disease,EFO_1001496,Autosomal dominant polycystic kidney disease,EFO_0009690,urinary system disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD1,,,,,EFO_0009690,urinary system disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD1,,,EFO_0008615,Cystic Kidney Disease,EFO_0009690,urinary system disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD1,,,HP_0010944,Abnormal renal pelvis morphology,EFO_0009690,urinary system disease
Union#L30#L30 Other dermatitis,FLG,MONDO_0002406,dermatitis,EFO_0000701,skin disease,EFO_0010285,integumentary system disease
Source of report of L30 (other dermatitis),FLG,EFO_0000701,skin disease,,,EFO_0010285,integumentary system disease
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000183,Hodgkins lymphoma,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000183,Hodgkins lymphoma,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000183,Hodgkins lymphoma,MONDO_0023370,neoplastic disease or syndrome
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_1000211,Cutaneous Follicular Lymphoma,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_1000211,Cutaneous Follicular Lymphoma,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_1000211,Cutaneous Follicular Lymphoma,MONDO_0023370,neoplastic disease or syndrome
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000220,acute lymphoblastic leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000220,acute lymphoblastic leukemia,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000220,acute lymphoblastic leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,MONDO_0004643,myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,MONDO_0004643,myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,MONDO_0004643,myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000565,leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000565,leukemia,MONDO_0045024,cancer or benign tumor
Union#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,EFO_0000565,leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
Union#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
Union#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,EFO_0000508,genetic disorder
Union#Q61#Q61 Cystic kidney disease,PKD2,EFO_0008615,Cystic Kidney Disease,EFO_0008615,Cystic Kidney Disease,EFO_0009690,urinary system disease
Union#Q61#Q61 Cystic kidney disease,PKD2,EFO_0008615,Cystic Kidney Disease,EFO_0008615,Cystic Kidney Disease,OTAR_0000018,"genetic, familial or congenital disease"
41202#Z40#Z40 Prophylactic surgery,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
20002#1405#other renal|kidney problem,PKD1,,,,,EFO_0009690,urinary system disease
Source of report of Q61 (cystic kidney disease),PKD2,EFO_0008615,Cystic Kidney Disease,,,EFO_0009690,urinary system disease
Source of report of Q61 (cystic kidney disease),PKD2,EFO_0008615,Cystic Kidney Disease,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
41202#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
41202#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,EFO_0000508,genetic disorder
41202#Z400#Z40.0 Prophylactic surgery for risk-factors related to malignant neoplasms,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
