acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
4	2	APR_HepG2_MicrotubuleCSK_1hr	APR_HepG2_MicrotubuleCSK_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].	protein stabilization	tuba1a	ENSG00000167552	ENSG00000141510	both
10	2	APR_HepG2_p53Act_1hr	APR_HepG2_p53Act_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of dna content, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-p53 antibody is used to tag and quantify the level of tumor protein p53 protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TP53 | GeneID:7157 | Uniprot_SwissProt_Accession:P04637].	cell death	tp53	ENSG00000141510	ENSG00000141510	both
11	2	APR_HepG2_StressKinase_1hr	APR_HepG2_StressKinase_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-phospho-c-jun antibody is used to tag and quantify the level of phosphorylated jun proto-oncogene protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:JUN | GeneID:3725 | Uniprot_SwissProt_Accession:P05412].	oxidative phosphorylation	jun	ENSG00000177606	ENSG00000141510	both
14	3	APR_HepG2_MicrotubuleCSK_24hr	APR_HepG2_MicrotubuleCSK_24hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_24hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].	protein stabilization	tuba1a	ENSG00000167552	ENSG00000141510	both
20	3	APR_HepG2_p53Act_24hr	APR_HepG2_p53Act_24hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_24hr assay. It is designed to make measurements of dna content, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-p53 antibody is used to tag and quantify the level of tumor protein p53 protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TP53 | GeneID:7157 | Uniprot_SwissProt_Accession:P04637].	cell death	tp53	ENSG00000141510	ENSG00000141510	both
21	3	APR_HepG2_StressKinase_24hr	APR_HepG2_StressKinase_24hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_24hr assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-phospho-c-jun antibody is used to tag and quantify the level of phosphorylated jun proto-oncogene protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:JUN | GeneID:3725 | Uniprot_SwissProt_Accession:P05412].	oxidative phosphorylation	jun	ENSG00000177606	ENSG00000141510	both
24	4	APR_HepG2_MicrotubuleCSK_72hr	APR_HepG2_MicrotubuleCSK_72hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_72hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].	protein stabilization	tuba1a	ENSG00000167552	ENSG00000141510	both
30	4	APR_HepG2_p53Act_72hr	APR_HepG2_p53Act_72hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_72hr assay. It is designed to make measurements of dna content, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-p53 antibody is used to tag and quantify the level of tumor protein p53 protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TP53 | GeneID:7157 | Uniprot_SwissProt_Accession:P04637].	cell death	tp53	ENSG00000141510	ENSG00000141510	both
31	4	APR_HepG2_StressKinase_72hr	APR_HepG2_StressKinase_72hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_72hr assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.	anti-phospho-c-jun antibody is used to tag and quantify the level of phosphorylated jun proto-oncogene protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:JUN | GeneID:3725 | Uniprot_SwissProt_Accession:P05412].	oxidative phosphorylation	jun	ENSG00000177606	ENSG00000141510	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000120738	both
